Last Name,First Name,Username,Student ID,Last Access,Availability,Assignment: Cardiology Fundamentals Week 2 [Total Pts: 100 Score] |2659511
Davis,Aaron,adavis,U37234939,,,
Kelly,Patricia,pkelly,U59888588,,,
Lewis,Mia,mlewis,U36532219,,,
Mitchell,Kathryn,kmitchell,U27757711,7/16/2026 12:32,Yes,0
Moore,Anthony,amoore,U96835908,,Yes,0
Evans,Angela,aevans,U01961451,,,
Gomez,Linda,lgomez,U80271071,,Yes,0
Brown,William,wbrown,U03826926,8/2/2026 21:33,,
Gonzalez,Matthew,mgonzalez,U52365454,,,
Wright,Rebecca,rwright,U26601957,,,
Long,Zoe,zlong,U04410311,,,
Morris,Eric,emorris,U64468353,,,
Baker,Christopher,cbaker,U00763552,,,
Gonzalez,Brandon,bgonzalez,U94440566,2/11/2026 16:27,,
White,Elena,ewhite,U70610010,,,
Gonzalez,Casey,cgonzalez,U13718364,,Yes,0
Howard,Mason,mhoward,U27396014,,,
Brooks,Caleb,cbrooks,U83082495,,,
Cox,Isaac,icox,U31802536,,,
Walker,Ines,iwalker,U62344357,,Yes,0
Parker,Matthew,mparker,U27141797,,,
Evans,Brian,bevans,U20200898,,,
Johnson,Mia,mjohnson,U04049783,,,
Mitchell,Avery,amitchell,U48490100,,,
Flores,Karen,kflores,U14790505,,Yes,0
Ramos,Chloe,cramos,U64757269,,,
Perez,Edward,eperez,U39737131,,,
Diaz,Jameson,jdiaz,U99222282,,,
Murphy,Mason,mmurphy,U34242203,,,
Brown,Jason,jbrown,U77738239,4/17/2026 20:56,,
Silva,Diane,dsilva,U93757193,,,
Gonzalez,Carlos,cgonzalez2,U60633255,,,
Wilson,Lily,lwilson,U43418348,,Yes,0
Evans,Andrew,aevans2,U70358449,,,
Jackson,Jameson,jjackson,U62568144,,,
Adams,Jessica,jadams,U78454065,,Yes,0
Nguyen,Paul,pnguyen,U99719571,3/13/2026 15:53,,
Hill,Anika,ahill,U68508989,,,
Lewis,Audrey,alewis,U67546179,,,
Hall,Scarlett,shall,U99353766,4/24/2026 17:36,,
Haddad,Audrey,ahaddad,U17100552,,,
Richardson,Michael,mrichardson,U09833119,,,
Perez,Frank,fperez,U28139881,,,
Chavez,Sofia,schavez,U14334183,,,
Perez,Brandon,bperez,U34343538,12/25/2026 3:24,Yes,0
Long,Liam,llong,U09020119,,,
Carter,Scarlett,scarter,U32423904,,,
Hernandez,Avery,ahernandez,U30625192,,,
Sanders,Mason,msanders,U92122365,12/13/2026 19:29,,
Diaz,Dave,ddiaz,U17461980,,,
Cook,Lily,lcook,U82549530,,,
Martinez,Ava,amartinez,U72045879,,,
Hernandez,Linda,lhernandez,U56793073,,Yes,0
Castillo,Teresa,tcastillo,U30891763,,,
Sanders,Zara,zsanders,U94461423,6/24/2026 8:50,,
Brooks,Rebecca,rbrooks,U08165105,,,
Cooper,Avery,acooper,U77426809,,Yes,0
Gomez,Sarah,sgomez,U84791507,12/9/2026 18:10,,
Wood,Ethan,ewood,U39636553,,,
Kowalski,Christine,ckowalski,U37186771,,Yes,0
Roberts,Samuel,sroberts,U70584702,,,
Reed,Paul,preed,U58728395,,Yes,0
Allen,Daniel,dallen,U84046121,,Yes,0
Cooper,Eric,ecooper,U06825331,6/11/2026 21:54,,
Lopez,Evelyn,elopez,U28666200,,,
Baker,Sandra,sbaker,U94132121,,,
Carter,Amir,acarter,U72130151,,Yes,0
Richardson,Anika,arichardson,U59976859,,,
Cox,Jessica,jcox,U30671065,,Yes,0
Roberts,Omar,oroberts,U17940447,,,
Young,Casey,cyoung,U25561977,6/26/2026 1:31,,
Ross,Joseph,jross,U54830559,,Yes,0
Clark,Amir,aclark,U53292355,,Yes,0
Ross,Joshua,jross2,U41367992,,,
Hernandez,Evelyn,ehernandez,U54260570,6/7/2026 17:13,,
Moore,Wei,wmoore,U25350998,11/5/2026 23:07,,
Kowalski,Priya,pkowalski,U11481859,,,
Silva,Sofia,ssilva,U96480799,9/3/2026 12:29,,
Wilson,Justin,jwilson,U47926261,,Yes,0
Baker,David,dbaker,U94161995,,,
Nguyen,Carlos,cnguyen,U79730937,,,
Cooper,Natalie,ncooper,U46369340,,,
Richardson,Anika,arichardson2,U54454071,,,
Richardson,Audrey,arichardson3,U42047305,,,
Turner,Charlotte,cturner,U52508861,,Yes,0
Gutierrez,Cameron,cgutierrez,U57227388,8/5/2026 17:17,,
Rivera,Henry,hrivera,U44702992,,,
Ross,Elijah,eross,U93744499,10/23/2026 16:41,,
Novak,Daniel,dnovak,U07795175,,,
Rogers,Anthony,arogers,U70700988,,,
Hughes,Mason,mhughes,U93365038,,Yes,0
Cox,Karen,kcox,U83375116,5/7/2026 1:01,,
Richardson,George,grichardson,U45034902,,Yes,0
Clark,Mei,mclark,U45078017,,Yes,0
Ward,Amelia,award,U56751268,,,
Garcia,Benjamin,bgarcia,U98293195,11/8/2026 12:21,,
Ali,Isabella,iali,U58032378,,,
Murphy,Thomas,tmurphy,U31772970,,,
Diaz,Chloe,cdiaz,U16563226,9/8/2026 13:32,,
Morales,Brooke,bmorales,U03680310,6/9/2026 9:42,Yes,0
Robinson,Thomas,trobinson,U45268150,6/15/2026 16:52,,
Robinson,Noah,nrobinson,U22055547,,,
Myers,Ryan,rmyers,U88996019,,Yes,0
Jimenez,Brooke,bjimenez,U76668518,,Yes,0
Parker,Sophia,sparker,U15691412,,,
Flores,Elizabeth,eflores,U56081350,,Yes,0
Kumar,Megan,mkumar,U87994668,,,
Lopez,Megan,mlopez,U31729431,,,
Ramirez,Elizabeth,eramirez,U42794100,,,
Green,Thomas,tgreen,U42890270,,,
Chen,Aaron,achen,U53197635,,,
Anderson,Victoria,vanderson,U87353635,5/22/2026 18:37,,
Young,Elizabeth,eyoung,U60357831,,Yes,0
Moore,Noah,nmoore,U35687712,,Yes,0
Moore,Julia,jmoore,U59715334,,Yes,0
Peterson,Ines,ipeterson,U28393153,,Yes,0
Murphy,Isabella,imurphy,U79082834,,,
Hughes,Elena,ehughes,U02667862,,Yes,0
Sanders,Isaac,isanders,U31876374,,,
Rogers,Grace,grogers,U34267430,,,
Moore,Yuki,ymoore,U58565996,,Yes,0
Lopez,Brandon,blopez,U96795508,,Yes,0
Ramirez,Mason,mramirez,U50517497,,,
Wood,Susan,swood,U80882711,,Yes,0
Williams,Nancy,nwilliams,U73534035,,,
Edwards,Michael,medwards,U37902782,,,
Rivera,Elizabeth,erivera,U62508134,,,
Hill,Ella,ehill,U85223614,5/14/2026 13:51,Yes,0
Thomas,Anika,athomas,U23472162,,,
Evans,Steven,sevans,U05172516,,,
Ali,Yuki,yali,U86327017,3/7/2026 22:05,,
Wood,Mary,mwood,U80709645,,,
King,Noah,nking,U02664585,,,
Campbell,Grace,gcampbell,U19283265,,,
Adams,Taylor,tadams,U88912800,,,
Jimenez,Margaret,mjimenez,U56458494,,,
Johnson,Leila,ljohnson,U36190686,,,
Kelly,Kathryn,kkelly,U57393362,,,
Kim,Oliver,okim,U71793375,,,
Rogers,Jordan,jrogers,U61900942,,,
Gonzalez,Mei,mgonzalez2,U10136679,,,
Ali,Sophia,sali,U98315275,,,
White,Oliver,owhite,U35229089,8/25/2026 7:09,,
Lee,Fatima,flee,U27219011,,,
Ramos,Sandra,sramos,U04137991,,,
Scott,Robert,rscott,U62839001,,,
Martin,Samuel,smartin,U51334067,,Yes,0
Cox,Tariq,tcox,U45524766,,,
Cox,Victoria,vcox,U27261434,12/22/2026 15:37,,
Turner,Steven,sturner,U82952184,,,
Morgan,Christine,cmorgan,U96466506,,Yes,0
Myers,Eric,emyers,U75647858,3/23/2026 11:57,,
Anderson,Audrey,aanderson,U98137753,,Yes,0
Jones,Elena,ejones,U40786076,,,
Gutierrez,Frank,fgutierrez,U28578967,12/21/2026 23:53,,
Martinez,Charles,cmartinez,U02969530,,,
Myers,Dave,dmyers,U18651519,10/15/2026 15:28,,
Edwards,Carlos,cedwards,U27940651,,Yes,0
Kelly,Christine,ckelly,U44291862,,,
Nelson,Morgan,mnelson,U00927217,,,
Wood,Morgan,mwood2,U93842501,,,
Ward,Brian,bward,U55565620,,,
Kumar,Samuel,skumar,U72428905,,,
Watson,Amir,awatson,U92972656,,,
Jackson,Christine,cjackson,U74196783,,,
Smith,Sandra,ssmith,U17384001,,,
Hill,Angela,ahill2,U74820735,,,
Green,Scarlett,sgreen,U81986670,,,
Mitchell,Nancy,nmitchell,U37141559,,,
Taylor,Harper,htaylor,U95325148,,,
Scott,Zara,zscott,U11590787,,,
Lewis,Ines,ilewis,U58406560,,,
Williams,Leila,lwilliams,U25445714,,,
Suzuki,Andrew,asuzuki,U05809435,,Yes,0
Peterson,Edward,epeterson,U63173943,,,
Stewart,Julia,jstewart,U23202447,,,
Anderson,Tariq,tanderson,U65034432,,,
