Group Code*,User Name*,Student Id,First Name,Last Name,Group Set
New_gc_Group_gc_1,nfury_previewuser,,Nick,Fury_PreviewUser,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_1,jhubbard,,Jim,Hubbard,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_1,ktownsend,,Kristin,Townsend,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_1,gwest,,Gwendolyn,West,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_1,tdavidson,,Ted,Davidson,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_2,pparker,,Peter,Parker,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_2,sstrange,,Stephan,Strange,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_2,syates,,Sonja,Yates,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_2,habbott,,Harry,Abbott,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_2,mpeters,,Monique,Peters,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_3,bbanner,,Bruce,Banner,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_3,creyes,,Carrie,Reyes,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_3,jvega,,Julia,Vega,first_gc_ultra_gc_group_gc_set
New_gc_Group_gc_3,efoster,,Ervin,Foster,first_gc_ultra_gc_group_gc_set
